StartDate,ResponseId,Group,Q4,Q6,Q33_1,Q33_13,Q33_2,Q33_4,Q33_3,Q33_12,Q33_10,Q3_1,Q3_2,Q3_9,Q3_12,Q3_4,Q3_10,Q13,Q15,Q16_1,Q16_2,Q16_3,Q17,Q18_1,Q18_2,Q18_3,Q19_1,Q19_2
8/17/2023 23:58,R_3p9Mjgk2htMMGx2,B,"$5,000 to 50,000",10% to 25%,0,25,25,50,0,0,0,75,0,0,0,25,0,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,4,0,0,100,Yes,Yes
8/18/2023 8:28,R_1eJqiM9GnA7reQE,B,"$200,001 to $1,000,000",10% to 25%,20,10,0,70,0,0,0,50,0,20,0,30,0,No,Four times in one year,Shipments arriving at my business,Shipments departing from my business,Animals within my business,12,3,2,7,Yes,Yes
10/28/2023 11:29,R_2YlIC3SCTYtR5SQ,B,"$5,000 to 50,000",Less than 10%,90,9,0,0,1,0,0,99,0,0,0,1,0,No,Four times in one year,Shipments arriving at my business,Blank,Animals within my business,4,0,4,0,Yes,Yes
10/31/2023 1:15,R_3kbkOKhBgoyWl0Q,B,"$5,000 to 50,000",76% to 100%,0,100,0,0,0,0,0,25,0,0,0,75,0,No,Once only,Blank,Blank,Animals within my business,40,0,5,95,Yes,No
11/3/2023 11:25,R_W6vOZdzhBUqrhfj,B,"Over $1,000,000",Less than 10%,0,0,0,100,0,0,0,100,0,0,0,0,0,No,Once only,Blank,Blank,Animals within my business,4,25,0,75,Yes,Yes
11/3/2023 11:27,R_2zZStCaOhFahvYJ,B,"Over $1,000,000",Less than 10%,0,0,0,100,0,0,0,100,0,0,0,0,0,No,Once only,Blank,Blank,Animals within my business,4,25,0,75,Yes,Yes
11/3/2023 13:20,R_2WuR0JPknQmfCjM,B,"Less than $5,000",76% to 100%,5,75,0,0,20,0,0,80,0,0,0,20,0,No,Four times per year for two years,Shipments arriving at my business,Blank,Animals within my business,40,0,0,100,Yes,No
11/13/2023 22:27,R_2Ve84SW5F5y1zbR,B,"Less than $5,000",Less than 10%,25,0,25,0,0,0,50,100,0,0,0,0,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Blank,Blank,Animals within my business,3,50,25,25,Yes,Yes
12/1/2023 18:32,R_ywDxpmvNVPeaMbD,C,"$5,000 to 50,000",76% to 100%,80,20,0,0,0,0,0,90,10,0,0,0,0,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,blank,20,40,40,Yes,Yes
2/10/2024 19:32,R_17jSBf5FiIUk0hZ,B,"$5,000 to 50,000",Less than 10%,50,50,0,0,0,0,0,100,0,0,0,0,0,No,Four times per year for two years,,,Animals within my business,10,25,35,40,No,No
2/11/2024 16:26,R_3ZQgi39OR5gDV0B,B,"Over $1,000,000",10% to 25%,20,0,0,40,10,30,0,100,0,0,0,0,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,,Animals within my business,2,0,0,100,Yes,Yes
2/11/2024 16:51,R_1RjzPoq50E2g4kD,B,"Over $1,000,000",10% to 25%,0,20,0,40,10,30,0,100,0,0,0,0,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,,Animals within my business,2,50,0,50,Yes,Yes
2/11/2024 16:59,R_323WJqNOPoVsocs,B,"Over $1,000,000",10% to 25%,0,20,0,40,10,30,0,100,0,0,0,0,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,,Animals within my business,blank,50,0,50,Yes,Yes
2/13/2024 22:40,R_6eWEI5yN8Qe48Uh,B,"$50,001 to $200,000",10% to 25%,60,25,0,15,0,0,0,50,0,0,0,50,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Blank,Blank,Animals within my business,50,0,10,90,Unsure. Please have a Pet Advocacy Network representative contact me.,Unsure. Please have a Pet Advocacy Network representative contact me.
3/19/2024 12:57,R_5kNTGVMogIhTAX5,B,"$200,001 to $1,000,000",Less than 10%,0,0,0,100,0,0,0,100,0,0,0,0,0,No,Four times per year for two years,Shipments arriving at my business,Blank,Animals within my business,4,0,0,100,Yes,Yes
3/19/2024 14:45,R_5QYBjshmCPcGKHC,B,"$200,001 to $1,000,000",10% to 25%,0,25,0,75,0,0,0,80,0,0,0,20,0,No,Four times in one year,Shipments arriving at my business,Shipments departing from my business,Animals within my business,8,20,20,60,Yes,Yes
3/20/2024 14:56,R_7OnzlYpRRwK1bvX,B,"$200,001 to $1,000,000",Less than 10%,0,20,0,75,0,5,0,100,0,0,0,0,0,No,Four times per year for two years,Shipments arriving at my business,Blank,Animals within my business,8,40,20,40,Yes,Yes
3/27/2024 17:54,R_3EfZv4z1YtaNlJX,B,"$50,001 to $200,000",Less than 10%,10,50,30,0,0,10,0,50,0,0,0,25,25,No,Four times in one year,Blank,Blank,Animals within my business,12,6,3,3,Yes,Yes
3/28/2024 11:22,R_50fK0gQPUNsqgAV,B,"$200,001 to $1,000,000",Less than 10%,0,20,0,80,0,0,0,100,0,0,0,0,0,No,Four times per year for two years,Shipments arriving at my business,Blank,,10,25,25,50,No,No
4/29/2023 13:33,R_pQ8W5RsSsoTgk5b,C,"$5,000 to 50,000",26% to 50%,49,50,0,0,1,0,0,50,0,15,10,25,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Shipments departing from my business,Animals within my business,50,70,5,25,Yes,Yes
7/18/2023 12:43,R_3qIO8312qi3PMi9,C,"Less than $5,000",76% to 100%,90,10,0,0,0,0,0,90,0,0,0,10,0,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,6,0,50,50,Yes,Yes
8/14/2023 10:26,R_2Bycno9ZudwEcrI,C,"$5,000 to 50,000",76% to 100%,80,20,0,0,0,0,0,10,70,0,0,20,0,Unsure,Four times per year for two years,Blank,Blank,Animals within my business,24,0,0,100,Yes,Yes
8/24/2023 21:32,R_2AS6IMiJ7D2Kovw,C,"Less than $5,000",Less than 10%,25,50,25,0,0,0,0,100,0,0,0,0,0,No,Once only,Blank,Blank,Animals within my business,15,0,10,90,Yes,No
11/3/2023 11:27,R_3Nzg8tEmVoChJUS,C,"Over $1,000,000",Less than 10%,0,0,0,100,0,0,0,100,0,0,0,0,0,No,Once only,Blank,Blank,Animals within my business,4,25,0,75,Yes,Yes
11/3/2023 11:28,R_22ys0r6PWjrwvOK,C,"Over $1,000,000",Less than 10%,0,0,0,100,0,0,0,100,0,0,0,0,0,No,Once only,Blank,Blank,Animals within my business,4,25,0,75,Yes,Yes
11/3/2023 11:28,R_2X0ZHPEtQYxJHD6,C,"Over $1,000,000",Less than 10%,0,0,0,100,0,0,0,100,0,0,0,0,0,No,Once only,Blank,Blank,Animals within my business,4,25,0,75,Yes,Yes
12/29/2023 0:01,R_3uyWiDTzKR8u7Qb,C,"Less than $5,000",Less than 10%,5,70,0,0,10,15,0,90,0,0,0,10,0,Unsure,Four times per year for two years,Shipments arriving at my business,Blank,Animals within my business,6,40,10,50,Yes,No
1/18/2024 11:46,R_3J8RqkYoVOqv4MF,C,"Less than $5,000",76% to 100%,70,28,2,0,0,0,0,90,2,0,0,8,0,Yes,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,134,80,18,2,Yes,Yes
2/11/2024 16:07,R_6XLGepWXHq0xsl3,C,"Over $1,000,000",Less than 10%,0,20,0,40,10,30,0,100,0,0,0,0,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Animals within my business,2,90,0,10,Yes,Yes
2/11/2024 16:33,R_54uQgrII1W6UUnl,C,"Over $1,000,000",10% to 25%,,20,0,40,10,30,0,100,0,0,0,0,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Animals within my business,2,90,0,10,Yes,Yes
2/11/2024 16:42,R_3SeZvenP11PpxZL,C,"Over $1,000,000",10% to 25%,0,20,0,40,10,30,0,100,0,0,0,0,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Animals within my business,2,0,0,100,Yes,Yes
2/11/2024 16:46,R_3iQgM5xi7ip8X93,C,"Over $1,000,000",10% to 25%,0,20,0,40,10,30,0,100,0,0,0,0,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Animals within my business,2,50,0,50,Yes,Yes
2/11/2024 16:54,R_6TXf1yiabHIBcSZ,C,"Over $1,000,000",10% to 25%,0,20,0,40,10,30,0,100,0,0,0,0,0,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Animals within my business,2,0,0,100,Yes,Yes
4/29/2024 14:43,R_5wMy62XAb770GmR,B,"$5,000 to 50,000",76% to 100%,75,5,0,20,0,0,0,75,5,20,0,0,0,No,Four times per year for two years,Blank,Blank,Animals within my business,25,75,5,20,Yes,Yes
4/30/2024 7:30,R_3OqxOYpnCfBr5EC,B,"$200,001 to $1,000,000",26% to 50%,25,25,0,50,0,0,0,100,0,0,0,0,0,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,13,25,25,50,Yes,Yes
5/1/2024 10:39,R_1U5T72tmnnEgcYj,B,"$200,001 to $1,000,000",Less than 10%,0,0,0,100,0,0,0,100,0,0,0,0,0,No,Four times per year for two years,Blank,Blank,Animals within my business,2,33,33,34,Yes,Yes
