Response ID,status,Duration to fill-up online form (minutes),gross annual sales of your business,code income,percentage of annual sales for amphibians,code amphibians,percentage of the amphibians - Breeding in-house,percentage of the amphibians - Hobbyists (sales or trades),percentage of the amphibians - Retail pet stores,percentage of the amphibians - Wholesaler/distributors,percentage of the amphibians - Imports,percentage of the amphibians - Wild-caught,percentage of the amphibians - Other (please list),"percentage you sell to - Pet owners, directly",percentage you sell to - Retail pet stores,percentage you sell to - Wholesale/distributor,percentage you sell to - Exported to other countries,percentage you sell to - Hobbyists,percentage you sell to - Other (please list),What approximate percentage of the amphibians you sell from your facility go to each of the following? Values must total to 100. - Other (please list) - Text,Did your business participate in the pilot amphibian project,How frequently are you willing to collect samples for this project?,Which type of samples are you willing to collect?  - Shipments arriving at my business,Which type of samples are you willing to collect? - Shipments departing from my business,Which type of samples are you willing to collect? - Animals within my business,What is the approximate total number of independent amphibian habitats in your business? ,Aquatic,Partially,Terrestrial,"Are you willing to share the following information about your business, provided that it remains confidential? - Basic operations (e.g., biosecurity practices)","Are you willing to share the following information about your business, provided that it remains confidential? - Economics (e.g., broad categories of volume)"
R_6XLGepWXHq0xsl3,Results,18.77,"Over $1,000,000",5,Less than 10%,1,0,20,0,40,10,30,0,100,0,0,0,0,0,,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Animals within my business,2,1,0,1,Yes,Yes
R_54uQgrII1W6UUnl,Results,8.62,"Over $1,000,000",5,10% to 25%,2,0,20,0,40,10,30,0,100,0,0,0,0,0,,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Animals within my business,2,1,0,1,Yes,Yes
R_3SeZvenP11PpxZL,Results,4.37,"Over $1,000,000",5,10% to 25%,2,0,20,0,40,10,30,0,100,0,0,0,0,0,,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Animals within my business,2,0,0,2,Yes,Yes
R_3iQgM5xi7ip8X93,Results,4.38,"Over $1,000,000",5,10% to 25%,2,0,20,0,40,10,30,0,100,0,0,0,0,0,,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Animals within my business,2,1,0,1,Yes,Yes
R_6TXf1yiabHIBcSZ,Results,3.02,"Over $1,000,000",5,10% to 25%,2,0,20,0,40,10,30,0,100,0,0,0,0,0,,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Animals within my business,2,0,0,2,Yes,Yes
R_1CjpN78LbmgPOvu,Sent,4.03,"Less than $5,000",1,26% to 50%,3,20,20,0,60,0,0,0,100,0,0,0,0,0,,No,Four times per year for two years,Shipments arriving at my business,Blank,Animals within my business,13,0,0,13,Yes,Yes
R_2tgOdT4GkyMk2K4,Sent,12.95,"Less than $5,000",1,76% to 100%,4,0,20,80,0,0,0,0,100,0,0,0,0,0,,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,5,0,0,5,Yes,Yes
R_1f43DQm4zrjTvmA,Sent,4.17,"Less than $5,000",1,76% to 100%,4,90,10,0,0,0,0,0,50,0,0,0,50,0,,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,50,0,0,50,Yes,Yes
R_2dz1YeamRfbm6o0,Sent,4.48,"Over $1,000,000",5,Less than 10%,1,0,0,0,50,30,20,0,0,90,10,0,0,0,,Yes,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,10,0,3,7,Yes,Yes
R_3p9Mjgk2htMMGx2,Sent,5.07,"$5,000 to 50,000",2,10% to 25%,2,0,25,25,50,0,0,0,75,0,0,0,25,0,,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,4,0,0,4,Yes,Yes
R_1eJqiM9GnA7reQE,Sent,6.28,"$200,001 to $1,000,000",4,10% to 25%,2,20,10,0,70,0,0,0,50,0,20,0,30,0,,No,Four times in one year,Shipments arriving at my business,Shipments departing from my business,Animals within my business,12,3,2,7,Yes,Yes
R_2YlIC3SCTYtR5SQ,Sent,6.05,"$5,000 to 50,000",2,Less than 10%,1,90,9,0,0,1,0,0,99,0,0,0,1,0,,No,Four times in one year,Shipments arriving at my business,Blank,Animals within my business,4,0,4,0,Yes,Yes
R_3kbkOKhBgoyWl0Q,Sent,6.03,"$5,000 to 50,000",2,76% to 100%,5,0,100,0,0,0,0,0,25,0,0,0,75,0,,No,Once only,Blank,Blank,Animals within my business,40,0,2,38,Yes,No
R_W6vOZdzhBUqrhfj,Sent,1.33,"Over $1,000,000",5,Less than 10%,1,0,0,0,100,0,0,0,100,0,0,0,0,0,,No,Once only,Blank,Blank,Animals within my business,4,1,0,3,Yes,Yes
R_2zZStCaOhFahvYJ,Sent,0.23,"Over $1,000,000",5,Less than 10%,1,0,0,0,100,0,0,0,100,0,0,0,0,0,,No,Once only,Blank,Blank,Animals within my business,4,1,0,3,Yes,Yes
R_2WuR0JPknQmfCjM,Sent,22.22,"Less than $5,000",1,76% to 100%,5,5,75,0,0,20,0,0,80,0,0,0,20,0,,No,Four times per year for two years,Shipments arriving at my business,Blank,Animals within my business,40,0,0,40,Yes,No
R_2Ve84SW5F5y1zbR,Sent,6.08,"Less than $5,000",1,Less than 10%,1,25,0,25,0,0,0,50,100,0,0,0,0,0,,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Blank,Blank,Animals within my business,3,1.5,0.75,0.75,Yes,Yes
R_17jSBf5FiIUk0hZ,Sent,4.10,"$5,000 to 50,000",2,Less than 10%,1,50,50,0,0,0,0,0,100,0,0,0,0,0,,No,Four times per year for two years,Blank,Blank,Animals within my business,10,2.5,3.5,4,No,No
R_3ZQgi39OR5gDV0B,Sent,6.58,"Over $1,000,000",5,10% to 25%,2,20,0,0,40,10,30,0,100,0,0,0,0,0,,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Animals within my business,2,0,0,2,Yes,Yes
R_1RjzPoq50E2g4kD,Sent,3.12,"Over $1,000,000",5,10% to 25%,2,0,20,0,40,10,30,0,100,0,0,0,0,0,,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Animals within my business,2,1,0,1,Yes,Yes
R_323WJqNOPoVsocs,Sent,3.92,"Over $1,000,000",5,10% to 25%,2,0,20,0,40,10,30,0,100,0,0,0,0,0,,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Shipments arriving at my business,Blank,Animals within my business,2,1,0,1,Yes,Yes
R_6eWEI5yN8Qe48Uh,Sent,7.47,"$50,001 to $200,000",3,10% to 25%,2,60,25,0,15,0,0,0,50,0,0,0,50,0,,No,Unsure. Please have a Pet Advocacy Network representative contact me to discuss this time commitment.,Blank,Blank,Animals within my business,50,0,5,45,No,No
R_5kNTGVMogIhTAX5,Sent,5.57,"$200,001 to $1,000,000",4,Less than 10%,1,0,0,0,100,0,0,0,100,0,0,0,0,0,,No,Four times per year for two years,Shipments arriving at my business,Blank,Animals within my business,4,0,0,3,Yes,Yes
R_5QYBjshmCPcGKHC,Sent,3.58,"$200,001 to $1,000,000",4,10% to 25%,2,0,25,0,75,0,0,0,80,0,0,0,20,0,,No,Four times in one year,Shipments arriving at my business,Shipments departing from my business,Animals within my business,8,1.6,1.6,4.8,Yes,Yes
R_7OnzlYpRRwK1bvX,Sent,22.67,"$200,001 to $1,000,000",4,Less than 10%,1,0,20,0,75,0,5,0,100,0,0,0,0,0,,No,Four times per year for two years,Shipments arriving at my business,Blank,Animals within my business,8,3.2,1.6,3.2,Yes,Yes
R_3EfZv4z1YtaNlJX,Sent,5.23,"$50,001 to $200,000",3,Less than 10%,1,10,50,30,0,0,10,0,50,0,0,0,25,25,"Nature centers, zoos",No,Four times in one year,Blank,Blank,Animals within my business,12,6,3,3,Yes,Yes
R_50fK0gQPUNsqgAV,Sent,5.03,"$200,001 to $1,000,000",4,Less than 10%,1,0,20,0,80,0,0,0,100,0,0,0,0,0,,No,Four times per year for two years,Shipments arriving at my business,Blank,Blank,10,2.5,2.5,5,No,No
R_5wMy62XAb770GmR,Sent,3.42,"$5,000 to 50,000",2,76% to 100%,5,75,5,0,20,0,0,0,75,5,20,0,0,0,,No,Four times per year for two years,Blank,Blank,Animals within my business,25,18.75,1.25,5,Yes,Yes
R_3OqxOYpnCfBr5EC,Sent,4.92,"$200,001 to $1,000,000",4,26% to 50%,3,25,25,0,50,0,0,0,100,0,0,0,0,0,,No,Four times per year for two years,Shipments arriving at my business,Shipments departing from my business,Animals within my business,13,3.25,3.25,6.5,Yes,Yes
R_1U5T72tmnnEgcYj,Sent,14.00,"$200,001 to $1,000,000",4,Less than 10%,1,0,0,0,100,0,0,0,100,0,0,0,0,0,,No,Four times per year for two years,Blank,Blank,Animals within my business,2,1,0,1,Yes,Yes
